Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Aruba,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,,11.11111111
Australia,,3.92916184,4.178826653,4.300014319,4.605391614,4.811840204,5.156528644,5.373130443,5.38770941,5.402028038,5.416867344,5.351261992,5.286958333,5.234890593,5.482863205,5.496530987,5.477005584,5.348268097,5.534540437,5.718599898,5.731486664,5.599104435,6.036473452,5.833799774,6.128373013,6.137484868,6.093617797,6.110279474,6.117959465,6.20907801,6.235111881,5.94873931,6.143993335,6.02684092,6.15701027,5.21940044,4.723064707,5.189982167,5.734610729,5.92661052,6.157530948,6.483344832,6.221964776,6.123166239,6.214675293,6.430626245,6.211030551,5.745675123,5.724717858,5.937805084,5.541048905,6.206214285,6.132668602,6.016297203,6.112362183,,,5.667677167
Austria,,20.45289416,20.35601841,20.05328167,20.06539114,20.10171954,19.56890288,19.37515137,19.38726084,19.19350932,19.20561879,19.21772826,19.22983773,18.33373698,18.33373698,18.29740857,18.4063938,18.51537903,18.73334948,18.44272221,18.60014531,18.75756842,18.58803584,17.42552676,17.49818358,17.53451199,17.42552676,17.42552676,17.65560668,17.66771615,17.26810366,17.49818358,17.38919835,17.18333737,17.23177525,17.12279002,17.07435214,17.02591426,17.00169533,16.97747639,16.94114798,16.79583434,16.7716154,16.71143134,16.70259143,16.71954468,16.67716154,16.66303374,16.5782654,16.54920197,16.51669472,16.46782379,16.41471037,16.40474488,16.37967597,,,17.86879062
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4825937,20.61838326,20.71211411,20.7445594,21.44754077,21.64461588,21.77947335,22.06517139,22.10035712,22.22289478,22.23849524,22.24386585,22.2650958,22.29857247,22.28178661,22.43764296,22.51322207,22.68161022,22.79447348,22.81327881,22.94756708,23.29207951,23.30546919,,,22.08395057
"Bahamas, The",,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.899100899,0.899100899,0.799200799,0.799200799,0.799200799,0.799200799,,,0.71965072
Bahrain,,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,1.449275362,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.898550725,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.361111111,2.054794521,2.027027027,1.959459459,1.866666667,1.578947368,1.789473684,2.099737533,2.086049544,2.077922078,2.077922078,2.075226978,,,2.280670288
Bangladesh,,66.10586157,66.04440347,66.10586157,66.37474072,67.42721057,67.58853807,67.93423984,67.82668818,67.68072521,67.88814627,67.88814627,70.16209572,70.1467312,70.1467312,70.2466006,70.20050703,70.1467312,70.10063763,70.0468618,70.06990858,69.97772144,69.93931013,69.82407621,70.56157333,70.30805869,70.37719905,70.94568641,73.26572943,73.38864562,72.64346624,72.09802566,66.13659061,65.34531766,64.59245602,64.56172697,64.20066067,64.45417531,64.94584006,64.80755935,64.14688484,63.78581854,63.40170546,63.20964892,62.55665668,60.77437198,60.53622186,60.04455712,59.94468772,59.89091188,59.85250058,58.98440501,58.92294692,58.98440501,58.91526465,,,66.41585505
Barbados,,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,34.88372093,34.88372093,32.55813953,32.55813953,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,30.23255814,27.90697674,25.58139535,25.58139535,25.58139535,25.58139535,,,35.09905254
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99408401,30.09268389,30.68921317,30.72372313,30.71386314,30.44271347,30.5018734,30.47722343,30.23565372,28.40169592,27.6882118,27.45649066,27.35565307,27.32337425,27.30409069,27.20059142,27.18580582,27.33458239,27.279448,27.24853383,27.21403578,27.47227835,27.94342319,,,28.62083681
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4676354,27.90620872,27.47688243,27.57595773,27.74108322,27.84015852,27.80713342,27.70805812,27.87318362,27.74108322,27.54293263,27.24570674,26.51915456,26.94848085,26.98150594,,,27.55834434
