Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393218.2085,,,,,,,,,,393218.2085,,,,,,,,,,393218.2085,,,,,,,393218.2085
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.61621094,,,,,,,,,,64.61621094,,,,,,,,,,64.61621094,,,,,,,64.61621094
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829422.9101,,,,,,,,,,829422.9101,,,,,,,,,,829422.9101,,,,,,,829422.9101
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709418.75,,,,,,,,,,709418.75,,,,,,,,,,709418.75,,,,,,,709418.75
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8868577,,,,,,,,,,8868577,,,,,,,,,,8868577,,,,,,,8868577
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090598.125,,,,,,,,,,1090598.125,,,,,,,,,,1090598.125,,,,,,,1090598.125
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.78833,,,,,,,,,,1478.78833,,,,,,,,,,1478.78833,,,,,,,1478.78833
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278811.75,,,,,,,,,,2278811.75,,,,,,,,,,2278811.75,,,,,,,2278811.75
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338427.125,,,,,,,,,,338427.125,,,,,,,,,,338427.125,,,,,,,338427.125
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46479.98438,,,,,,,,,,46479.98438,,,,,,,,,,46479.98438,,,,,,,46479.98438
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314812.3438,,,,,,,,,,314812.3438,,,,,,,,,,314812.3438,,,,,,,314812.3438
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51019.57031,,,,,,,,,,51019.57031,,,,,,,,,,51019.57031,,,,,,,51019.57031
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100440.7969,,,,,,,,,,100440.7969,,,,,,,,,,100440.7969,,,,,,,100440.7969
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
