Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Bangladesh,,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Barbados,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Belarus,,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202830,202830,202810,202830,202900,202900,202900,202820,202900,202910,202910,202910,202910,202910,202910,202850.3571
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280
Belize,,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Benin,,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Bermuda,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bhutan,,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,43488.92857
Bolivia,,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
Bosnia and Herzegovina,,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51089.28571
