Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9341.820633,,,,,,,,,,9341.820633,,,,,,,,,,9341.820633,,,,,,,9341.820633
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.9671021,,,,,,,,,,160.9671021,,,,,,,,,,160.9671021,,,,,,,160.9671021
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71091.07813,,,,,,,,,,71091.07813,,,,,,,,,,71091.07813,,,,,,,71091.07813
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12027.5166,,,,,,,,,,12027.5166,,,,,,,,,,12027.5166,,,,,,,12027.5166
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380679.3,,,,,,,,,,380679.3,,,,,,,,,,380679.3,,,,,,,380679.3
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36132.13672,,,,,,,,,,36132.13672,,,,,,,,,,36132.13672,,,,,,,36132.13672
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.407196,,,,,,,,,,196.407196,,,,,,,,,,196.407196,,,,,,,196.407196
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9061.722656,,,,,,,,,,9061.722656,,,,,,,,,,9061.722656,,,,,,,9061.722656
