Country Name,10 year GDP Average,Average % of Forest Cover (10 yrs),continent
Trinidad and Tobago,22954150022,44.75349991,North America
Turkey,6.95E+11,14.54606877,Asia
Turks and Caicos Islands,0,36.21052632,North America
Tuvalu,31675476.67,33.33333333,Oceania
Uganda,18917728259,13.75474605,Africa
Ukraine,1.38E+11,16.54528848,Europe
United Kingdom,2.71E+12,12.69713629,Europe
United States,1.54E+13,33.65782897,North America
Vanuatu,655693068.7,36.09515997,Oceania
"Venezuela, RB",2.96E+11,53.66764407,South America
Vietnam,1.24E+11,45.20680081,Asia
Virgin Islands (U.S.),4184090909,51.89350649,North America
Zambia,19451310468,66.54380608,Africa
Zimbabwe,9449206445,40.43921182,Africa
